question,document
Is it too late to start the course if I just found it now?,74eb249bbf
Can I still join the course after it has already started?,74eb249bbf
"If I enroll late, do I still have a chance to get the certificate?",74eb249bbf
Do I need to submit the project before submissions close to get certified?,74eb249bbf
What’s the deadline for project submission if I want the course certificate?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — is that a problem?",977bf7786c
Do I actually need an approval email to start the LLM Zoomcamp or submit homework?,977bf7786c
"I registered for the course already, but how do I know if I’m officially accepted?",977bf7786c
Is there any list of registered students for the LLM Zoomcamp that homework gets checked against?,977bf7786c
What’s the point of registration if I can already join and start learning without it?,977bf7786c
How do students join the Office Hours or live workshop if the Zoom link isn’t shared publicly?,489dd1c9d9
Where should I look for the livestream link before an Office Hours session starts?,489dd1c9d9
"Can I watch the live sessions on YouTube, and where do I ask questions during the stream?",489dd1c9d9
"Why isn’t the Zoom URL posted for Office Hours, and who actually gets it?",489dd1c9d9
"Should I put questions in the live chat during Office Hours, or is there a better place to ask them?",489dd1c9d9
How do I begin the LLM Zoomcamp and what should I read first?,04919992b3
Is there a recommended weekly routine for going through the course materials and homework?,04919992b3
"Can I start the course anytime, or is there a fixed start date with deadlines?",04919992b3
"What’s the usual order for watching lessons, doing notebooks, and submitting homework?",04919992b3
"Does the homework follow the same pattern as the lessons, or is it different?",04919992b3
How do I find my row on the leaderboard if I can’t find my name?,c2903069a0
What name am I showing on the leaderboard by default?,c2903069a0
Where do I check or change the display name on my course profile?,c2903069a0
How can I get rid of the random name and use my own nickname instead?,c2903069a0
What do I need to enter so my certificate doesn’t say the default random name?,c2903069a0
"Can I take this course at my own pace and still get a certificate, or is the certificate only for the live cohort?",69d122f12e
"If I complete everything in self-paced mode, do I get any certificate at the end?",69d122f12e
Why aren’t certificates given for the self-paced version of the course?,69d122f12e
Do I have to be in the running cohort to do the required peer reviews for the capstone project?,69d122f12e
"Is it possible to peer-review projects after the course forms are closed, or only while the course is active?",69d122f12e
"If I skipped the first homework, am I still eligible for the course certificate?",9f689c185f
"Do I have to submit every homework to get certified, or is something else enough?",9f689c185f
What do I need to complete in order to receive the certificate if homework isn't required?,9f689c185f
Is the Capstone project the only thing that really matters for getting the certificate?,9f689c185f
"Are homework assignments mandatory, or do they just help with practice and ranking?",9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if the homework is actually ready to do?,96286b4be4
Is it safe to start homework early if the title still says draft?,96286b4be4
Can the homework instructions still be updated after the form is open?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next cohort starts for this course?,bd31146b0e
"Is there an upcoming session of the course, and if so, when?",bd31146b0e
What’s the next scheduled offering for this course?,bd31146b0e
When can I expect this course to run again?,bd31146b0e
Where can I find the course lectures or videos?,31456f4b5f
Is there a main page or repo I should open first for each lesson?,31456f4b5f
How do I know which video goes with a specific lesson?,31456f4b5f
Are the lesson videos linked somewhere on each lesson page?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course updates?,31456f4b5f
How do I keep track of the LLM Zoomcamp syllabus and deadlines in one place?,20c5a1347e
"Is there a course page for homework, deadlines, and my progress in LLM Zoomcamp?",20c5a1347e
Where should I go to follow the current cohort structure for LLM Zoomcamp?,20c5a1347e
What platform does LLM Zoomcamp use for assignments and progress tracking?,20c5a1347e
Is the LLM Zoomcamp management site the same kind of setup as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live sessions or office hours for every module, or is everything just pre-recorded?",d65e05bd7a
"If there aren't module-by-module live classes, how are live sessions announced and where should I ask for help?",d65e05bd7a
"Is there any official place to get support when I'm stuck on a lesson, like Slack or a forum?",d65e05bd7a
What’s the difference between the free course and the optional AI Shipping Labs support?,d65e05bd7a
"Are Zoom office hours included in the main LLM Zoomcamp course, or only in the paid community option?",d65e05bd7a
Can Bluesky posts count toward the learning in public requirement?,dbf5369006
Is it okay to use Bluesky for the public learning credits?,dbf5369006
Do posts on Bluesky qualify as learning in public credits?,dbf5369006
Can I earn the public learning credit with Bluesky posts?,dbf5369006
Will a Bluesky post be accepted for learning in public?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I join the LLM Zoomcamp Telegram group?,054f3fd58f
Is there a Telegram link for the course announcements?,054f3fd58f
Should I ask technical questions in Telegram or somewhere else?,054f3fd58f
Where do I go for updates and where should I ask course-related technical questions?,054f3fd58f
Why does the FAQ dataset have a different number of records than the course videos show?,e2d595f23c
"Is the FAQ data supposed to match the videos exactly, or can it change over time?",e2d595f23c
Why am I seeing more or fewer FAQ entries when I run the code than in the recorded lesson?,e2d595f23c
Did the FAQ dataset get updated after the videos were made?,e2d595f23c
What explains the mismatch between the record count in my FAQ dataset and the count shown in the video?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
The submission page is open after the deadline — does that mean I can still upload my answers?,a9353fadfe
Is it okay to submit homework late as long as the form hasn’t been closed yet?,a9353fadfe
"Once the deadline is over, do I lose the chance to submit, or only after the form closes?",a9353fadfe
"If the homework form is still available, can I go ahead and send my answers even after the due date?",a9353fadfe
"Can I still turn in a homework after the deadline if the form is open, or is it already closed for good?",cdc3b285e5
"Do you ever give deadline extensions for homework, or is that not allowed in this course?",cdc3b285e5
"If I miss a homework, does that stop me from getting the certificate, or is the Capstone the only required part?",cdc3b285e5
Are late homework submissions accepted at all once the submission form closes?,cdc3b285e5
How does missing a homework affect my leaderboard rank and overall course completion?,cdc3b285e5
Will the name I type for the certificate be visible on the leaderboard or anywhere public?,651ba06b34
Does the certificate name get shared with anyone else or shown online somehow?,651ba06b34
"If I want to keep my real name private, can I use a different name for the certificate and the public profile?",651ba06b34
What’s the difference between the display name and the certificate name in Edit Course Profile?,651ba06b34
Can I use my real name on the certificate but keep an anonymous nickname on the leaderboard?,651ba06b34
Why doesn't this course start with LangChain?,b7cdde6b25
What’s the reason we build RAG parts ourselves instead of using a framework?,b7cdde6b25
"Is LangChain considered too advanced for this module, or is there another reason it's skipped?",b7cdde6b25
"Why learn prompting, retrieval, indexing, and evaluation manually before using LangChain?",b7cdde6b25
What’s the benefit of doing the LLM app basics from scratch before a framework like LangChain?,b7cdde6b25
Why do I get an Insufficient credits error when I run OpenAI responses.create?,f5df151c59
What does OpenAI API Error: Insufficient credits mean in responses.create?,f5df151c59
How can I fix the error I see when using OpenAI responses.create?,f5df151c59
Is the responses.create command failing because my OpenAI account has no credits?,f5df151c59
What should I check if OpenAI responses.create returns an Insufficient credits message?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI when I call the API?,152af39a53
"Does this mean my code is wrong, or is it my OpenAI account quota?",152af39a53
How do I fix the 'insufficient_quota' error so my request works again?,152af39a53
Do I need to add credits or enable billing before using the OpenAI API?,152af39a53
"After adding funds, do I need to create a new API key or change the model I’m using?",152af39a53
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
Is it true that the OpenAI API costs almost nothing for the course exercises?,554d0eb78b
Do I have to spend a lot on OpenAI API calls in Module 1 RAG?,554d0eb78b
What is the minimum amount I can add to my OpenAI account for course use?,554d0eb78b
"Will I really only pay a few cents, or even less, when using the OpenAI API for this course?",554d0eb78b
Do I actually need a paid OpenAI API plan to finish the homework in this course?,85384a18e5
Can I follow the course without subscribing to OpenAI API at all?,85384a18e5
Are there any free or cheap alternatives to OpenAI API that I can use for the assignments?,85384a18e5
Where in the course repo can I find a list of OpenAI API alternatives?,85384a18e5
"If I don’t want to pay for OpenAI, what should I use instead for this module?",85384a18e5
Why does the course recommend uv instead of using pip and virtualenv like usual?,f81dea8f7e
"What makes uv a better choice for managing Python versions, environments, and dependencies in this course?",f81dea8f7e
"Do I have to switch to uv, or can I still use pip and virtualenv for the assignments?",f81dea8f7e
"Is uv basically replacing tools like pip, virtualenv, poetry, and pyenv all at once?",f81dea8f7e
What is the main reason the lessons are built around uv rather than the standard Python setup tools?,f81dea8f7e
