question,document
"What is the main goal of this module, and what kind of RAG system are you going to build?",01-agentic-rag/lessons/01-intro.md
"How does this course treat large language models: do you open them up and train one, or just call them through an API?",01-agentic-rag/lessons/01-intro.md
What are the main limitations of LLMs that make retrieval helpful in the first place?,01-agentic-rag/lessons/01-intro.md
"How does RAG help an LLM answer questions better, especially when the answer is in your own documents?",01-agentic-rag/lessons/01-intro.md
What will be covered in the first part of the module versus the second part?,01-agentic-rag/lessons/01-intro.md
"What do I need installed before I start this module, and do I need anything besides Python and Jupyter?",01-agentic-rag/lessons/02-environment.md
How do I create the project from scratch and which packages should I add first?,01-agentic-rag/lessons/02-environment.md
What is the recommended way to keep my OpenAI API key safe in this setup?,01-agentic-rag/lessons/02-environment.md
How do I check that the OpenAI client is working in a notebook after loading my environment variables?,01-agentic-rag/lessons/02-environment.md
"If I want to use Groq or another OpenAI-compatible service, how do I configure the client differently?",01-agentic-rag/lessons/02-environment.md
Why doesn’t a plain LLM answer course-specific questions well without extra help?,01-agentic-rag/lessons/03-rag.md
"What does RAG mean, and what are the two main parts it combines?",01-agentic-rag/lessons/03-rag.md
How do you make the model answer using the FAQ instead of guessing from general knowledge?,01-agentic-rag/lessons/03-rag.md
What happens if the search step finds the wrong document in a RAG setup?,01-agentic-rag/lessons/03-rag.md
Can the search tool or LLM provider be swapped out without changing the rest of the system?,01-agentic-rag/lessons/03-rag.md
"Where does the FAQ data come from, and how do you download it as JSON?",01-agentic-rag/lessons/04-dataset.md
"What fields does each FAQ record include, and what is each one used for?",01-agentic-rag/lessons/04-dataset.md
Why do we use the course slug when searching the FAQ entries?,01-agentic-rag/lessons/04-dataset.md
How does this FAQ dataset fit into the RAG workflow from search to answer generation?,01-agentic-rag/lessons/04-dataset.md
"Is the FAQ data already cleaned and ready to use, or do you usually need extra prep work for this kind of project?",01-agentic-rag/lessons/04-dataset.md
How does a search engine decide which documents to show first?,01-agentic-rag/lessons/05-search.md
What’s the difference between word-based search and semantic search?,01-agentic-rag/lessons/05-search.md
Why do we need an index instead of sending every document to the LLM?,01-agentic-rag/lessons/05-search.md
"In minsearch, what fields should be treated as text and which one should be used for exact course matching?",01-agentic-rag/lessons/05-search.md
How do boosting and course filtering change the search results?,01-agentic-rag/lessons/05-search.md
Why do we need to include the search results in the prompt before sending it to the LLM?,01-agentic-rag/lessons/06-building-prompt.md
What is the difference between the fixed instructions and the user prompt in this setup?,01-agentic-rag/lessons/06-building-prompt.md
How should the prompt tell the model to respond if it cannot find the answer in the provided context?,01-agentic-rag/lessons/06-building-prompt.md
How do you turn the retrieved documents into the context string that gets added to the prompt?,01-agentic-rag/lessons/06-building-prompt.md
What does the final prompt look like once the question and the FAQ context are combined?,01-agentic-rag/lessons/06-building-prompt.md
How do you actually send the built prompt to the model in this RAG setup?,01-agentic-rag/lessons/07-llm.md
"What’s the difference between the newer Responses API and chat completions, and when would I use each one?",01-agentic-rag/lessons/07-llm.md
"Where is the model’s answer stored in the returned object, and is there a shorter way to get just the text?",01-agentic-rag/lessons/07-llm.md
How can I estimate how much a request costs from the token usage info?,01-agentic-rag/lessons/07-llm.md
Why does the example pass both developer instructions and the user prompt as a message list instead of just one string?,01-agentic-rag/lessons/07-llm.md
Why does the lesson suggest splitting the RAG code into separate helper files instead of keeping it in notebooks?,01-agentic-rag/lessons/08-rag-helper.md
What do the two new files `ingest.py` and `rag_helper.py` each handle in the RAG setup?,01-agentic-rag/lessons/08-rag-helper.md
How does the `load_faq_data()` function gather the FAQ documents before building the index?,01-agentic-rag/lessons/08-rag-helper.md
"Why is the RAG logic wrapped in a class, and what do the constructor arguments let you change later?",01-agentic-rag/lessons/08-rag-helper.md
"How do the `search`, `build_context`, `build_prompt`, and `llm` methods work together when you call `rag(query)`?",01-agentic-rag/lessons/08-rag-helper.md
Why does loading and indexing everything at startup stop being practical as the dataset gets larger?,01-agentic-rag/lessons/09-data-ingestion.md
What’s the main difference between keeping the index in memory and saving it to a database file?,01-agentic-rag/lessons/09-data-ingestion.md
