question,document,score,reasoning
Is it too late to start the course if I just found it now?,74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: it is not too late to start, but certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
Can I still join the course after it has already started?,74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: late joining is allowed, and certificate eligibility depends on submitting the project while submissions are still open. It is semantically equivalent."
"If I enroll late, do I still have a chance to get the certificate?",74eb249bbf,good,"The AI answer preserves the core message: late enrollment is allowed, but certificate eligibility requires submitting the project while submissions are still being accepted. The extra clause about live cohort vs self-paced mode is additional detail and does not contradict the ground truth."
Do I need to submit the project before submissions close to get certified?,74eb249bbf,good,The AI answer matches the ground truth: it says certification requires submitting the project while submissions are still open. This is semantically equivalent to the original answer.
What’s the deadline for project submission if I want the course certificate?,74eb249bbf,good,"The AI answer preserves the key point: to receive the certificate, the project must be submitted while submissions are still being accepted. It adds an extra requirement about peer review, which may or may not be in the original FAQ, but it does not contradict the ground truth. The semantic core matches the original answer."
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — is that a problem?",977bf7786c,good,"The AI answer preserves the core meaning of the ground truth: no confirmation email is needed, the user is accepted, they can still learn and submit homework while the form is open, and registration is only for gauging interest and not checked against a list. This is semantically equivalent."
Do I actually need an approval email to start the LLM Zoomcamp or submit homework?,977bf7786c,good,"The AI answer matches the ground truth: it states that no approval email is needed, the student is accepted, and they can start learning and submitting homework while the form is open without registering. It preserves the key point that registration is not required for homework submission. Minor omission of the detail that registration is only to gauge interest does not change the meaning."
"I registered for the course already, but how do I know if I’m officially accepted?",977bf7786c,good,"The AI answer conveys the same key points as the ground truth: registration implies acceptance, no separate confirmation is needed, registration is only to gauge interest, and students may begin learning/submitting homework while the form is open. It preserves the essential meaning accurately."
Is there any list of registered students for the LLM Zoomcamp that homework gets checked against?,977bf7786c,good,"The AI answer matches the ground truth: there is no registered list used for homework checking, registration is optional for gauging interest, and homework can be submitted while the form is open without registering."
What’s the point of registration if I can already join and start learning without it?,977bf7786c,good,"The AI answer preserves the core meaning of the ground truth: registration is optional, not required for acceptance or participation, and its purpose is only to gauge interest before the start date. No key information is missing or contradicted."
How do students join the Office Hours or live workshop if the Zoom link isn’t shared publicly?,489dd1c9d9,good,"The AI answer matches the ground truth: it correctly states that the Zoom link is only for instructors/presenters/TAs, and that students watch via YouTube Live and ask questions through Slido. It also includes the announcement channels and YouTube channel. It omits the caution not to post questions in chat, but that is secondary and does not change the core answer."
Where should I look for the livestream link before an Office Hours session starts?,489dd1c9d9,good,"The AI answer correctly states where to find the livestream link before the session starts: the announcements channel on Telegram and Slack, and the DataTalksClub YouTube channel. This matches the ground truth key information. It omits details about Zoom access and Slido, but those are not necessary to answer the question."
"Can I watch the live sessions on YouTube, and where do I ask questions during the stream?",489dd1c9d9,good,"The AI answer matches the ground truth on the key points: students watch via YouTube Live/DataTalksClub YouTube channel and ask questions in Slido, with the link pinned in chat. It also correctly warns not to rely on chat for questions. It omits the Telegram/Slack announcement detail, but that is extra context rather than the core answer to the question."
"Why isn’t the Zoom URL posted for Office Hours, and who actually gets it?",489dd1c9d9,good,"The AI answer captures the essential point that the Zoom link is restricted to instructors/presenters/TAs and that students participate via YouTube Live and Slido. It omits some extra details from the ground truth (Telegram/Slack announcements, YouTube channel, and warning not to use chat), but those are not required for the core answer to the question asked."
"Should I put questions in the live chat during Office Hours, or is there a better place to ask them?",489dd1c9d9,bad,"The AI answer captures the key instruction that students should not post questions in the live chat because they may be missed, and it correctly mentions Slido as the live-session question channel with the link pinned in chat. However, it adds Slack as the better place to ask questions, which is not what the original answer says for Office Hours/live sessions. The original specifically says students submit questions to Slido and does not designate Slack as the primary venue here. Because of that mismatch, the answer is not semantically equivalent."
How do I begin the LLM Zoomcamp and what should I read first?,04919992b3,good,"The AI answer matches the ground truth closely: it recommends the same three starting resources, says the course can be started anytime, gives the same workflow steps, and mentions the course management platform for deadlines/progress. No key information is missing or wrong."
Is there a recommended weekly routine for going through the course materials and homework?,04919992b3,good,"The AI answer preserves the core workflow from the ground truth: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit before the deadline. It directly answers that there is a recommended routine. It omits the introductory links and the note that homework may use a different dataset/similar task, but those are not essential to the question."
"Can I start the course anytime, or is there a fixed start date with deadlines?",04919992b3,good,"The AI answer correctly states that the course can be started anytime and that materials are available, with deadlines on the course management platform. This matches the core of the ground truth. It omits some additional workflow details and links, but those are not essential to the question."
"What’s the usual order for watching lessons, doing notebooks, and submitting homework?",04919992b3,good,"The AI answer captures the essential workflow: watch the lesson, do the notebook/practice work, then submit homework. It also correctly notes that homework may use a different dataset or slightly different task. It omits some ancillary details about the docs, GitHub repo, and course platform deadlines, but those are not required for the core question."
"Does the homework follow the same pattern as the lessons, or is it different?",04919992b3,good,"The AI answer captures the key point from the ground truth: homework is similar to the lesson flow but differs by using a different dataset or slightly different task. It omits the surrounding logistics details, but those are not essential to the question asked."
How do I find my row on the leaderboard if I can’t find my name?,c2903069a0,good,"The AI answer correctly identifies the key action: use the “Jump to your record on the leaderboard” link to find your row when the assigned random name is not recognizable. It preserves the core meaning of the original answer. It omits some extra details about editing the course profile and certificate name, but those are not necessary for this specific question."
What name am I showing on the leaderboard by default?,c2903069a0,good,"The AI answer captures the key point: the leaderboard uses a random default name such as “Lucid Elbakyan.” It omits the instructions about how to find or edit the display name, but those are extra details rather than core to the question asked."
Where do I check or change the display name on my course profile?,c2903069a0,good,"The AI answer correctly identifies that the display name is checked/changed via 'Edit Course Profile' and explains the first field as the nickname/display name. It also correctly mentions the second field for the certificate name. This is semantically equivalent to the ground truth, though it omits the note about the random default name and the leaderboard link, which are not essential to the question."
How can I get rid of the random name and use my own nickname instead?,c2903069a0,good,"The AI answer captures the key point: use Edit Course Profile, change the first field to your nickname/display name, and notes the second field is for the official certificate name. This matches the ground truth sufficiently, even though it omits some extra context about the random default name and leaderboard link."
What do I need to enter so my certificate doesn’t say the default random name?,c2903069a0,good,"The AI answer captures the key point: to avoid the default random name on the certificate, you must enter your official/legal name in the second field of Edit Course Profile. This matches the ground truth, though it omits some extra context about the display name and how to find your record."
"Can I take this course at my own pace and still get a certificate, or is the certificate only for the live cohort?",69d122f12e,good,"The AI answer matches the key point of the ground truth: certificates are only available for the live cohort, not self-paced mode. It omits the explanation about peer reviews and the course-running window, but that extra detail is not required for semantic equivalence."
"If I complete everything in self-paced mode, do I get any certificate at the end?",69d122f12e,good,"The AI answer matches the ground truth: it states that no certificate is awarded for self-paced mode and that a certificate is only available when finishing with a live cohort. It omits the peer-review explanation, but that is additional detail rather than a required core point."
Why aren’t certificates given for the self-paced version of the course?,69d122f12e,good,"The AI answer preserves the key points from the ground truth: certificates are only available for the live cohort, not self-paced, because earning one requires peer-reviewing 3 capstones, which can only be done while the course is actively running before the form closes and the peer-review list is compiled. This is semantically equivalent."
Do I have to be in the running cohort to do the required peer reviews for the capstone project?,69d122f12e,good,"The AI answer conveys the key points that peer reviews are only available during the live/running cohort and that self-paced mode does not qualify for a certificate. This matches the ground truth well enough, even though it phrases the answer as a direct 'yes' instead of the FAQ's broader explanation."
"Is it possible to peer-review projects after the course forms are closed, or only while the course is active?",69d122f12e,good,"The AI answer correctly states that peer-reviewing is only possible while the course is running and not after the form is closed. It captures the key point from the original answer, though it omits the certificate/self-paced explanation. That omission does not change the core meaning relevant to the question."
"If I skipped the first homework, am I still eligible for the course certificate?",9f689c185f,good,The AI answer matches the ground truth: it states that homework is not mandatory for the certificate and that passing the Capstone project is the requirement. It preserves the key point that skipping the first homework does not affect certificate eligibility.
"Do I have to submit every homework to get certified, or is something else enough?",9f689c185f,good,"The AI answer matches the ground truth: it correctly states that homework is not required for certification, that passing the Capstone project is what matters for the certificate, and that homework points only affect leaderboard rank. This is semantically equivalent and complete."
What do I need to complete in order to receive the certificate if homework isn't required?,9f689c185f,good,"The AI answer correctly states the key requirement for the certificate: passing the Capstone project. It also correctly notes that homework is not mandatory. This matches the ground truth, though it omits the extra detail about homework being recommended and affecting leaderboard ranking, which is not necessary for answering the question."
Is the Capstone project the only thing that really matters for getting the certificate?,9f689c185f,bad,"The AI answer correctly states that passing the Capstone project is required and homework is not mandatory. However, it adds that peer review participation is also required to get the certificate, which is not mentioned in the ground truth and changes the key requirement. The original answer implies the Capstone is the only requirement mentioned for the certificate, with homework optional and leaderboard-related. Because the AI answer introduces an additional condition that is unsupported by the original answer, it is not semantically equivalent."
"Are homework assignments mandatory, or do they just help with practice and ranking?",9f689c185f,good,"The AI answer matches the ground truth: homework is not mandatory, it is recommended for practice, it contributes to leaderboard ranking, and the Capstone project is required for the certificate. This preserves the core meaning without contradiction."
Why does the homework content keep changing before the deadline?,96286b4be4,good,"The AI answer preserves the key points from the ground truth: '[DRAFT]' indicates the homework is not ready, readiness requires both the form being open and the title not containing '[DRAFT]', and content may change until then so early work is at the student's risk. This is semantically equivalent."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The AI answer correctly states the key point that a homework title containing [DRAFT] means the homework is not ready yet. It omits the extra conditions and caution, but those are supplementary details, not required for semantic equivalence."
How can I tell if the homework is actually ready to do?,96286b4be4,good,"The AI answer matches the ground truth: it states the two required conditions for readiness and correctly explains that a title containing [DRAFT] means the homework is not ready and may still change. It omits the 'at your own risk' phrasing, but that is extra caution rather than a key requirement."
Is it safe to start homework early if the title still says draft?,96286b4be4,good,"The AI answer correctly states that a [DRAFT] homework is not ready yet and that working early is at the student's own risk because the content may change. It captures the main point of the ground truth. It omits the condition that the homework form must also be open on the course management platform, but that does not change the core answer to the user’s question."
Can the homework instructions still be updated after the form is open?,96286b4be4,good,"The AI answer preserves the key conditions for homework readiness: the form must be open and the title must not contain [DRAFT]. It also correctly states that if [DRAFT] is still present, the instructions may still change. This matches the ground truth semantically."
When is the next time this course will be offered?,bd31146b0e,good,"The AI answer matches the ground truth exactly, stating that the course will next be offered in Summer 2027."
